ma_hang,ten_san_pham,danh_muc,thuong_hieu,gia_ban,gia_nhap,ton_kho,mo_ta,trang_thai
DT001,iPhone 15 Pro Max 256GB,Điện thoại,Apple,34990000,28500000,54,"iPhone 15 Pro Max 256GB - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT002,iPhone 15 128GB,Điện thoại,Apple,22990000,18000000,60,"iPhone 15 128GB - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT003,Samsung Galaxy S24 Ultra,Điện thoại,Samsung,31990000,25000000,119,"Samsung Galaxy S24 Ultra - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT004,Samsung Galaxy A55 5G,Điện thoại,Samsung,10490000,7800000,42,"Samsung Galaxy A55 5G - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT005,Xiaomi 14 Pro,Điện thoại,Xiaomi,18990000,14500000,146,"Xiaomi 14 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT006,Xiaomi Redmi Note 13 Pro,Điện thoại,Xiaomi,7490000,5200000,16,"Xiaomi Redmi Note 13 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT007,OPPO Reno 11 Pro 5G,Điện thoại,OPPO,12990000,9500000,101,"OPPO Reno 11 Pro 5G - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT008,Vivo V30 Pro,Điện thoại,Vivo,11490000,8200000,90,"Vivo V30 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT009,Google Pixel 8 Pro,Điện thoại,Google,27990000,21000000,88,"Google Pixel 8 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DT010,OnePlus 12 5G,Điện thoại,OnePlus,19990000,15000000,80,"OnePlus 12 5G - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN001,Sony WH-1000XM5 Wireless,Tai nghe,Sony,8490000,5800000,68,"Sony WH-1000XM5 Wireless - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN002,Apple AirPods Pro 2nd Gen,Tai nghe,Apple,6490000,4500000,120,"Apple AirPods Pro 2nd Gen - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN003,Bose QuietComfort 45,Tai nghe,Bose,7990000,5600000,149,"Bose QuietComfort 45 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN004,Samsung Galaxy Buds2 Pro,Tai nghe,Samsung,4490000,2900000,126,"Samsung Galaxy Buds2 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN005,JBL Tune 770NC,Tai nghe,JBL,2290000,1400000,142,"JBL Tune 770NC - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN006,Sennheiser Momentum 4,Tai nghe,Sennheiser,9990000,7200000,126,"Sennheiser Momentum 4 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN007,Jabra Evolve2 75,Tai nghe,Jabra,12490000,9000000,133,"Jabra Evolve2 75 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN008,Audio-Technica ATH-M50x,Tai nghe,Audio-Technica,3990000,2600000,146,"Audio-Technica ATH-M50x - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN009,Anker Soundcore Life Q45,Tai nghe,Anker,1490000,890000,100,"Anker Soundcore Life Q45 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN010,Edifier W820NB Plus,Tai nghe,Edifier,1990000,1200000,145,"Edifier W820NB Plus - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN011,Sony WF-1000XM5 TWS,Tai nghe,Sony,6990000,4800000,76,"Sony WF-1000XM5 TWS - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TN012,Nothing Ear (2),Tai nghe,Nothing,2990000,1900000,114,"Nothing Ear (2) - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO001,JBL Charge 5 Bluetooth,Loa,JBL,3990000,2600000,23,"JBL Charge 5 Bluetooth - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO002,Sony SRS-XB100,Loa,Sony,1290000,780000,38,"Sony SRS-XB100 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO003,Bose SoundLink Max,Loa,Bose,9490000,6800000,143,"Bose SoundLink Max - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO004,Marshall Emberton III,Loa,Marshall,3490000,2200000,136,"Marshall Emberton III - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO005,Harman Kardon Onyx Studio 8,Loa,Harman Kardon,8990000,6200000,84,"Harman Kardon Onyx Studio 8 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO006,JBL Flip 6,Loa,JBL,2490000,1500000,125,"JBL Flip 6 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO007,Sonos Era 100,Loa,Sonos,7990000,5500000,115,"Sonos Era 100 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
